horizon,ranker,cutoff,n_feat,model,MSE,RMSE,MAE,DirAcc
1,RandomForest,0.005,6,XGBoost,0.6854999448745698,0.827949240518143,0.4915081169102852,0.6147540983606558
1,RandomForest,0.005,6,RandomForest,0.8542851687698436,0.924275483159563,0.5282476102397499,0.6229508196721312
1,RandomForest,0.005,6,GradientBoosting,0.8979597878676829,0.947607401758599,0.5283692972187357,0.6311475409836066
1,RandomForest,0.005,6,LightGBM,1.1683225957125005,1.0808897241219848,0.6268529931319702,0.6065573770491803
1,RandomForest,0.005,6,Ensemble_Avg,0.42378502671385876,0.6509877316154727,0.3920677759647542,0.6311475409836066
1,RandomForest,0.005,6,Ensemble_Weighted,0.2942095953948482,0.5424109100993897,0.34117014488287695,0.639344262295082
1,RandomForest,0.005,6,Avg(Linear+Ridge),0.1342556504739293,0.36640912989980107,0.25591493527920345,0.6721311475409836
1,RandomForest,0.005,6,Avg(top3),0.15636878653519828,0.39543493337741203,0.27300609303756457,0.6557377049180327
1,RandomForest,0.01,6,Linear,0.12978263432317622,0.3602535694801319,0.25183275939946037,0.680327868852459
1,RandomForest,0.01,6,Ridge,0.1402423997152845,0.37448951883234927,0.2609061285395729,0.6639344262295082
1,RandomForest,0.01,6,Lasso,0.23925400815715925,0.4891359812538424,0.3350620542508842,0.6639344262295082
1,RandomForest,0.01,6,MLP,0.6614288662766212,0.813282771412638,0.46934308930840496,0.6885245901639344
1,RandomForest,0.01,6,XGBoost,0.6854999448745698,0.827949240518143,0.4915081169102852,0.6147540983606558
1,RandomForest,0.01,6,RandomForest,0.8542851687698438,0.9242754831595631,0.52824761023975,0.6229508196721312
1,RandomForest,0.01,6,GradientBoosting,0.8979597878676829,0.947607401758599,0.5283692972187357,0.6311475409836066
1,RandomForest,0.01,6,LightGBM,1.1683225957125005,1.0808897241219848,0.6268529931319702,0.6065573770491803
1,RandomForest,0.01,6,Ensemble_Avg,0.4237850267138589,0.6509877316154729,0.3920677759647542,0.6311475409836066
1,RandomForest,0.01,6,Ensemble_Weighted,0.2942095953948482,0.5424109100993897,0.341170144882877,0.639344262295082
1,RandomForest,0.01,6,Avg(Linear+Ridge),0.1342556504739293,0.36640912989980107,0.25591493527920345,0.6721311475409836
1,RandomForest,0.01,6,Avg(top3),0.15636878653519828,0.39543493337741203,0.27300609303756457,0.6557377049180327
1,RandomForest,0.02,4,Linear,0.13342091694156008,0.3652682807766917,0.26175571391882474,0.639344262295082
1,RandomForest,0.02,4,Ridge,0.1378951029486014,0.3713422988949702,0.26697110890926706,0.6475409836065574
1,RandomForest,0.02,4,Lasso,0.22395593713324108,0.4732398304593994,0.32901580629123744,0.6229508196721312
1,RandomForest,0.02,4,MLP,0.27257167779081654,0.5220839758035258,0.3325957320037796,0.6229508196721312
1,RandomForest,0.02,4,XGBoost,0.41168968955947344,0.6416304930093905,0.4099816996659712,0.6229508196721312
1,RandomForest,0.02,4,GradientBoosting,0.5071959385820497,0.7121769011854076,0.43611002808137406,0.6311475409836066
1,RandomForest,0.02,4,RandomForest,0.530508054213984,0.7283598384136676,0.45224911374385196,0.6229508196721312
1,RandomForest,0.02,4,LightGBM,1.411355572689717,1.1880048706506707,0.6806655815633865,0.6147540983606558
1,RandomForest,0.02,4,Ensemble_Avg,0.300997767731472,0.5486326345848122,0.35391187851757033,0.6475409836065574
1,RandomForest,0.02,4,Ensemble_Weighted,0.22238553381215131,0.47157770707715957,0.3155530700395426,0.639344262295082
1,RandomForest,0.02,4,Avg(Linear+Ridge),0.13497262915424338,0.3673862125260601,0.26369921232902876,0.6475409836065574
1,RandomForest,0.02,4,Avg(top3),0.14839942939754794,0.38522646507937114,0.27738971469287926,0.639344262295082
2,Lasso,0.001,14,Lasso,0.7772665351607971,0.8816272087230504,0.6148478587638497,0.5289256198347108
2,Lasso,0.001,14,Ridge,0.9292282702944881,0.9639648698445852,0.6800075051943775,0.5454545454545454
2,Lasso,0.001,14,Linear,0.9354919949443461,0.9672083513619731,0.6812597301022725,0.5454545454545454
2,Lasso,0.001,14,LightGBM,1.3609016917896715,1.166576912076384,0.8100977715075213,0.5702479338842975
